sinp tanb dm mh3 mh4 mh2 mhc twosigdown onesigdown exp onesigup twosigup observed
0.35 0.5 10 600 100 600 600 .3208870 .4234730 .5888670 .8118560 1.0909680 .5672350
0.35 0.5 10 600 150 600 600 .3783590 .4993190 .6943360 .9627980 1.2903220 .6680980
0.35 0.5 10 600 200 600 600 .6849630 .9093170 1.2480470 1.7405490 2.3424770 1.2090340
0.35 0.5 10 600 250 600 600 1.2916720 1.7078790 2.3789060 3.2987010 4.4515930 2.3464270
0.35 0.5 10 600 300 600 600 4.1252290 5.4440500 7.5703120 10.5576960 14.2088250 7.3188330
0.35 0.5 10 600 350 600 600 24.5429080 32.2664720 44.7187500 62.0090830 83.1032640 46.2737660
0.35 0.5 10 600 400 600 600 103.1110840 136.8842010 187.8750000 260.5161440 346.7102360 183.0038970
0.35 0.5 10 600 500 600 600 178.2128910 237.0470120 325.8750000 454.4712220 607.4481810 317.5727980
0.35 0.8 10 600 100 600 600 .2835850 .3772050 .5185550 .7190520 .9636580 .5009580
0.35 0.8 10 600 150 600 600 .4053500 .5391690 .7412110 1.0277970 1.3774320 .7193820
0.35 0.8 10 600 200 600 600 .5124610 .6796360 .9404300 1.3115400 1.7651050 .9127910
0.35 0.8 10 600 250 600 600 1.0632360 1.4170230 1.9511720 2.7366950 3.6731790 1.8914320
0.35 0.8 10 600 300 600 600 3.4355620 4.5563140 6.3046880 8.8428940 11.9495850 6.1176130
0.35 0.8 10 600 350 600 600 17.4598390 23.2006240 32.1562500 45.1020470 60.5357630 31.0660310
0.35 0.8 10 600 400 600 600 69.3242800 91.4870070 127.2187500 177.4215850 238.7786250 122.7507070
0.35 0.8 10 600 500 600 600 245.0615840 326.6046750 449.7187500 627.1859740 844.0833740 488.4388010
0.35 10.0 10 600 100 600 600 2.3946760 3.1914940 4.3945310 6.1286940 8.1916380 4.2380680
0.35 10.0 10 600 150 600 600 2.9199370 3.8763370 5.3203120 7.4198050 9.9173430 5.1508050
0.35 10.0 10 600 200 600 600 3.1066130 4.1361340 5.7421880 8.0081600 10.8514430 5.5536750
0.35 10.0 10 600 250 600 600 5.3896180 7.1829880 9.8906250 13.8724950 18.7461890 9.6150720
0.35 10.0 10 600 300 600 600 16.1943970 21.3716890 29.7187500 41.6832310 56.3274120 28.9533940
0.35 10.0 10 600 350 600 600 86.8469240 114.6115800 159.3750000 222.2672880 299.1331480 154.6764110
0.35 10.0 10 600 400 600 600 102.0706790 134.7023160 187.3125000 261.2294310 351.5694270 182.4965050
0.35 10.0 10 600 500 600 600 170.4243160 225.3390350 313.8750000 437.7358090 589.1163330 395.5390090
0.35 1.0 10 600 100 600 600 .3240800 .4276870 .5947270 .8199340 1.1018230 .5913630
0.35 1.0 10 600 150 600 600 .3560090 .4698230 .6533200 .9059240 1.2141000 .6343870
0.35 1.0 10 600 200 600 600 .5667400 .7516220 1.0400390 1.4504570 1.9520640 1.0024780
0.35 1.0 10 600 250 600 600 .9482920 1.2576440 1.7402340 2.4408360 3.2872150 1.6844730
0.35 1.0 10 600 300 600 600 3.6268620 4.8432220 6.6796880 9.3688650 12.6603410 6.4877120
0.35 1.0 10 600 350 600 600 20.9454350 27.9149280 38.4375000 53.6056400 72.1438750 37.3967430
0.35 1.0 10 600 400 600 600 57.7276610 76.1829910 105.9375000 147.7423710 200.1980440 103.1901610
0.35 1.0 10 600 500 600 600 229.0715330 302.3049010 420.3750000 586.2626340 789.0076290 441.0889780
0.35 1.5 10 600 100 600 600 .4035820 .5357710 .7353520 1.0255350 1.3707340 .7109470
0.35 1.5 10 600 150 600 600 .4869170 .6425830 .8935550 1.2390440 1.6605410 .8591540
0.35 1.5 10 600 200 600 600 .6561930 .8714780 1.2128910 1.6818500 2.2696550 1.1658940
0.35 1.5 10 600 250 600 600 1.2280430 1.6237470 2.2617190 3.1542340 4.2741400 2.1867600
0.35 1.5 10 600 300 600 600 4.0702970 5.4056910 7.5234380 10.4923230 14.2176050 7.2575580
0.35 1.5 10 600 350 600 600 27.0126340 35.8603820 49.2187500 68.2489930 90.8297730 47.9596620
0.35 1.5 10 600 400 600 600 40.7790530 54.1579550 75.3750000 105.1193470 142.4417880 72.8503120
0.35 1.5 10 600 500 600 600 245.4191890 323.8788450 450.3750000 628.1011960 845.3150630 441.6599920
0.35 20.0 10 600 100 600 600 1.6539230 2.2042580 3.0351560 4.2086880 5.6403940 3.1578860
0.35 20.0 10 600 150 600 600 1.7177810 2.2781570 3.1523440 4.3963160 5.9166770 3.0337750
0.35 20.0 10 600 200 600 600 1.6103670 2.1547100 2.9765620 4.1511680 5.6250330 2.8780460
0.35 20.0 10 600 250 600 600 3.3855740 4.4963230 6.2578120 8.7272600 11.7453750 6.0446530
0.35 20.0 10 600 300 600 600 10.6770630 14.2298050 19.5937500 27.4820040 37.1370010 19.0762670
0.35 20.0 10 600 350 600 600 34.2993160 45.6226840 62.7187500 87.4687120 116.9110490 61.4480170
0.35 20.0 10 600 400 600 600 52.0700680 68.7907410 94.8750000 131.5580600 176.3113250 91.8031450
0.35 20.0 10 600 500 600 600 61.0794070 81.4360280 113.7187500 160.4073940 219.0674440 121.2431590
0.35 2.0 10 600 100 600 600 .5284250 .7008090 .9697270 1.3446680 1.8020950 .9345220
0.35 2.0 10 600 150 600 600 .7171210 .9520080 1.3066410 1.8222650 2.4356470 1.2698740
0.35 2.0 10 600 200 600 600 .8748550 1.1545430 1.6054690 2.2390160 3.0133270 1.5493730
0.35 2.0 10 600 250 600 600 1.4391860 1.9256660 2.6601560 3.7311090 5.0419250 2.5771680
0.35 2.0 10 600 300 600 600 5.7060240 7.5780720 10.5468750 14.7088640 19.9312210 10.1980200
0.35 2.0 10 600 350 600 600 53.7940060 71.6937100 98.7187500 137.6749730 185.2865910 95.1756480
0.35 2.0 10 600 400 600 600 97.5856930 129.6018680 180.3750000 252.9922330 341.8736270 174.9213790
0.35 2.0 10 600 500 600 600 332.6748050 443.3707890 610.5000000 851.4144290 1138.0041500 621.6321020
0.35 30.0 10 600 100 600 600 1.8071820 2.4085140 3.3164060 4.5986820 6.1630560 3.1904140
0.35 30.0 10 600 150 600 600 1.4316560 1.9117980 2.6367190 3.6982360 4.9975030 2.5540850
0.35 30.0 10 600 200 600 600 1.4623490 1.9489390 2.6835940 3.7639830 5.0520010 2.5979980
0.35 30.0 10 600 250 600 600 2.8991550 3.8260040 5.3203120 7.4622190 10.0838510 5.1843130
0.35 30.0 10 600 300 600 600 10.6770630 14.0904830 19.5937500 27.1695980 36.4121210 21.6721420
0.35 30.0 10 600 350 600 600 29.8454590 39.5442430 54.1875000 75.1388850 100.6995470 57.7674260
0.35 30.0 10 600 400 600 600 45.4841310 59.7978210 82.8750000 114.2576140 152.4625850 89.1582480
0.35 30.0 10 600 500 600 600 38.1104740 50.7915530 69.9375000 97.5361100 131.2666630 80.9913520
0.35 40.0 10 600 100 600 600 1.6666950 2.2212790 3.0585940 4.2655710 5.7407170 2.9614840
0.35 40.0 10 600 150 600 600 1.4138260 1.8823630 2.6132810 3.6445300 4.9049040 2.6270440
0.35 40.0 10 600 200 600 600 1.5389790 2.0510660 2.8242190 3.9387070 5.3008150 2.7341350
0.35 40.0 10 600 250 600 600 2.8530120 3.7890360 5.2734380 7.3544320 9.8977880 5.4851060
0.35 40.0 10 600 300 600 600 8.0971980 10.7915030 14.8593750 20.7231560 27.8897670 14.4682870
0.35 40.0 10 600 350 600 600 17.5226440 23.1245710 32.1562500 44.5893400 59.7576900 39.5745410
0.35 40.0 10 600 400 600 600 24.1281740 32.2201690 44.4375000 62.3276060 84.2245860 49.7037610
0.35 40.0 10 600 500 600 600 29.8388670 39.6896900 54.5625000 75.6588820 101.3964310 63.7323810
0.35 4.0 10 600 100 600 600 1.3956530 1.8527870 2.5429690 3.5464710 4.7729330 2.4640700
0.35 4.0 10 600 150 600 600 1.7050090 2.2723430 3.1289060 4.3386860 5.8146150 3.0134700
0.35 4.0 10 600 200 600 600 2.0881580 2.7557340 3.8320310 5.3442210 7.1923920 3.6974410
0.35 4.0 10 600 250 600 600 3.3855740 4.4963230 6.2578120 8.7272600 11.8258580 6.0386120
0.35 4.0 10 600 300 600 600 12.6293330 16.7727990 23.3437500 32.5556180 44.1144370 22.5312480
0.35 4.0 10 600 350 600 600 80.8480220 108.1766430 149.4375000 208.4082640 282.4032590 152.0858850
0.35 4.0 10 600 400 600 600 281.2401120 371.5516050 512.4375000 710.5695190 952.2902220 497.8359420
0.35 4.0 10 600 500 600 600 406.4436040 541.6857910 745.8750000 1034.2646480 1386.0996090 771.3055600
0.35 50.0 10 600 100 600 600 .8083530 1.0762390 1.4941410 2.0956670 2.8319180 1.4814550
0.35 50.0 10 600 150 600 600 1.3474040 1.7957470 2.4726560 3.4681240 4.6865470 2.4090940
0.35 50.0 10 600 200 600 600 1.5533070 2.0629200 2.8710940 4.0040800 5.3887960 2.7680760
0.35 50.0 10 600 250 600 600 3.8697970 5.1322050 7.1015620 9.9039690 13.3290210 6.9194440
0.35 50.0 10 600 300 600 600 9.8341370 13.0422380 18.0468750 25.1685010 33.8724290 20.9211120
0.35 50.0 10 600 350 600 600 15.1785280 20.1501200 27.6562500 38.3494340 51.3951000 27.1699570
0.35 50.0 10 600 400 600 600 20.2208860 26.8440590 36.8437500 51.0892450 68.4687270 38.9440940
0.35 50.0 10 600 500 600 600 24.0106200 32.0000420 44.0625000 61.0990940 81.8837130 51.3121460
0.35 6.0 10 600 100 600 600 2.3691330 3.1574510 4.3476560 6.0633210 8.1042600 4.2023740
0.35 6.0 10 600 150 600 600 2.7458950 3.6595790 5.0390620 6.9873970 9.3643610 4.8560730
